index,Raw,Count,Lemmantize,Porter,Lancaster
712,account,4,account,account,account
713,F,4,F,f,f
714,steelwork,4,steelwork,steelwork,steelwork
715,considering,4,considering,consid,consid
717,action,4,action,action,act
727,BS,4,BS,bs,bs
718,complex,4,complex,complex,complex
719,updated,4,updated,updat,upd
720,CSP,4,CSP,csp,csp
721,records,4,record,record,record
722,Issue,4,Issue,issu,issu
723,checks,4,check,check,check
724,status,4,status,statu,stat
725,relevant,4,relevant,relev,relev
726,scaffolds,4,scaffold,scaffold,scaffold
655,regularly,4,regularly,regularli,regul
656,Key,4,Key,key,key
653,competence,4,competence,compet,compet
580,hire,4,hire,hire,hir
582,updates,4,update,updat,upd
583,although,4,although,although,although
584,plates,4,plate,plate,plat
585,via,4,via,via,via
586,proven,4,proven,proven,prov
587,Working,4,Working,work,work
588,clauses,4,clause,claus,claus
589,line,4,line,line,lin
590,allocated,4,allocated,alloc,alloc
591,Manager,4,Manager,manag,man
592,incomplete,4,incomplete,incomplet,incomplet
593,MFEL,4,MFEL,mfel,mfel
594,timely,4,timely,time,tim
595,discussed,4,discussed,discuss,discuss
596,stages,4,stage,stage,stag
597,below,4,below,below,below
598,approvals,4,approval,approv,approv
599,ducts,4,duct,duct,duc
600,person,4,person,person,person
601,responsible,4,responsible,respons,respons
602,closed,4,closed,close,clos
581,weather,4,weather,weather,weath
579,Procurement,4,Procurement,procur,proc
604,effect,4,effect,effect,effect
578,Perhaps,4,Perhaps,perhap,perhap
652,supporting,4,supporting,support,support
557,Procedure,4,Procedure,procedur,proc
558,maintained,4,maintained,maintain,maintain
559,package,4,package,packag,pack
560,tracking,4,tracking,track,track
561,feedback,4,feedback,feedback,feedback
562,coordination,4,coordination,coordin,coordin
563,approve,4,approve,approv,approv
564,saving,4,saving,save,sav
565,WBS,4,WBS,wb,wbs
566,technical,4,technical,technic,techn
567,Gate,4,Gate,gate,gat
568,discuss,4,discus,discuss,discuss
569,offices,4,office,offic,off
570,took,4,took,took,took
572,units,4,unit,unit,unit
573,manholes,4,manhole,manhol,manhol
574,subcontractor,4,subcontractor,subcontractor,subcontract
575,Department,4,Department,depart,depart
576,layout,4,layout,layout,layout
577,Need,4,Need,need,nee
603,similar,4,similar,similar,simil
571,Non,4,Non,non,non
605,alignment,4,alignment,align,align
630,view,4,view,view,view
632,rejected,4,rejected,reject,reject
633,higher,4,higher,higher,high
634,Manage,4,Manage,manag,man
635,completed,4,completed,complet,complet
636,Concepts,4,Concepts,concept,conceiv
637,selected,4,selected,select,select
638,give,4,give,give,giv
639,critical,4,critical,critic,crit
640,unnecessary,4,unnecessary,unnecessari,unnecess
641,really,4,really,realli,real
642,reduced,4,reduced,reduc,reduc
643,chutes,4,chute,chute,chut
645,report,4,report,report,report
646,air,4,air,air,air
647,cladding,4,cladding,clad,clad
648,Siemens,4,Siemens,siemen,siem
649,rates,4,rate,rate,rat
650,condition,4,condition,condit,condit
651,real,4,real,real,real
606,special,4,special,special,spec
556,maintenance,4,maintenance,mainten,maint
631,Commissioning,4,Commissioning,commiss,commit
644,Plant,4,Plant,plant,plant
629,crawler,4,crawler,crawler,crawl
618,engineer,4,engineer,engin,engin
608,understood,4,understood,understood,understood
628,Delivery,4,Delivery,deliveri,delivery
609,address,4,address,address,address
610,deliver,4,deliver,deliv,del
611,productivity,4,productivity,product,produc
613,Improvement,4,Improvement,improv,improv
614,problems,4,problem,problem,problem
615,overview,4,overview,overview,overview
616,Local,4,Local,local,loc
617,Interfaces,4,Interfaces,interfac,interfac
612,safe,4,safe,safe,saf
619,n't,4,n't,n't,n't
623,clarified,4,clarified,clarifi,clar
627,accept,4,accept,accept,acceiv
626,trades,4,trade,trade,trad
620,accessible,4,accessible,access,access
625,instructions,4,instruction,instruct,instruct
624,layer,4,layer,layer,lay
607,Poor,4,Poor,poor,poor
621,DRD,4,DRD,drd,drd
622,three,4,three,three,three
945,plus,3,plus,plu,plu
940,NEW,3,NEW,new,new
944,HVAC,3,HVAC,hvac,hvac
943,sequencing,3,sequencing,sequenc,sequ
942,column,3,column,column,column
